epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2431.83,1.01864,0.58278,0.98141,0.91103,0.92102,0.97004,0.7189,1.02965,0.54317,0.97575,0.0011882,0.0011882,0.0011882
43,2490.09,1.01343,0.57569,0.97965,0.90538,0.91912,0.96747,0.70878,1.05347,0.54493,0.98084,0.0011684,0.0011684,0.0011684
44,2549.5,1.0298,0.57932,0.98266,0.89039,0.93633,0.96819,0.71795,1.02396,0.5377,0.9732,0.0011486,0.0011486,0.0011486
45,2613.3,1.03359,0.56744,0.98659,0.9216,0.91996,0.97185,0.72085,1.01451,0.54019,0.97192,0.0011288,0.0011288,0.0011288
46,2673.69,1.00795,0.57566,0.98138,0.90217,0.92508,0.97386,0.71613,1.01771,0.56457,0.97207,0.001109,0.001109,0.001109
47,2731.43,1.00718,0.56555,0.97015,0.90497,0.93597,0.97002,0.7201,1.03371,0.53234,0.97444,0.0010892,0.0010892,0.0010892
48,2788.96,0.99315,0.56889,0.97489,0.8996,0.91803,0.95709,0.71277,1.02782,0.55713,0.97315,0.0010694,0.0010694,0.0010694
49,2846.47,1.00689,0.57883,0.97093,0.89531,0.94557,0.97133,0.72006,1.04108,0.53421,0.97143,0.0010496,0.0010496,0.0010496
50,2903.81,0.98304,0.56879,0.97005,0.90859,0.93347,0.96693,0.71732,1.01516,0.53195,0.96749,0.0010298,0.0010298,0.0010298
51,2960.62,0.99876,0.55021,0.96644,0.90152,0.92316,0.9634,0.71173,1.04236,0.54341,0.9751,0.00101,0.00101,0.00101
52,3017.43,1.00573,0.58887,0.97329,0.91419,0.91569,0.9718,0.71655,1.03562,0.5313,0.97644,0.0009902,0.0009902,0.0009902
53,3075.64,0.99263,0.55831,0.96484,0.90132,0.9285,0.96646,0.72272,1.01973,0.53414,0.96927,0.0009704,0.0009704,0.0009704
54,3138.13,0.99415,0.58471,0.96934,0.90658,0.91889,0.96071,0.71333,1.03737,0.54265,0.974,0.0009506,0.0009506,0.0009506
55,3196.19,0.97291,0.55009,0.95907,0.90943,0.94307,0.97671,0.72462,1.02513,0.5268,0.97296,0.0009308,0.0009308,0.0009308
56,3253.34,0.98392,0.55093,0.96725,0.90749,0.93179,0.96636,0.72447,1.01824,0.5405,0.97178,0.000911,0.000911,0.000911
57,3309.9,0.98687,0.55108,0.96376,0.92145,0.91462,0.96437,0.718,1.0128,0.54017,0.9687,0.0008912,0.0008912,0.0008912
58,3370.37,0.99436,0.57733,0.9696,0.89761,0.94491,0.97015,0.72157,1.02391,0.52077,0.96962,0.0008714,0.0008714,0.0008714
59,3428.81,0.98695,0.54117,0.97009,0.90695,0.93917,0.96671,0.72326,1.0111,0.51885,0.96692,0.0008516,0.0008516,0.0008516
60,3488.77,0.99035,0.55014,0.96388,0.91534,0.93465,0.97455,0.72364,1.00964,0.51268,0.96926,0.0008318,0.0008318,0.0008318
