epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,812.994,0.97683,0.52848,0.92365,0.92051,0.92688,0.97571,0.70844,0.99905,0.55099,0.9318,0.0011684,0.0011684,0.0011684
44,831.762,0.95591,0.51468,0.91516,0.89223,0.92778,0.96207,0.70614,1.00509,0.52482,0.93835,0.0011486,0.0011486,0.0011486
45,850.064,0.96013,0.51699,0.91305,0.89525,0.93946,0.97541,0.7211,0.98234,0.52228,0.92973,0.0011288,0.0011288,0.0011288
46,868.86,0.96687,0.52289,0.91649,0.9204,0.91676,0.97538,0.71518,0.97805,0.5146,0.92953,0.001109,0.001109,0.001109
47,888.465,0.95404,0.51419,0.91384,0.92314,0.92285,0.97435,0.71326,0.97809,0.53699,0.92617,0.0010892,0.0010892,0.0010892
48,906.667,0.93889,0.50695,0.90536,0.87932,0.93383,0.96559,0.69762,1.02248,0.58514,0.94072,0.0010694,0.0010694,0.0010694
49,924.955,0.95016,0.51403,0.91809,0.91689,0.90608,0.97014,0.71595,1.00303,0.51685,0.93077,0.0010496,0.0010496,0.0010496
50,943.422,0.94954,0.51234,0.91401,0.9218,0.91837,0.96956,0.71938,0.99027,0.51428,0.92951,0.0010298,0.0010298,0.0010298
51,961.638,0.94478,0.51102,0.9122,0.92606,0.9089,0.97393,0.72163,0.97763,0.4998,0.92594,0.00101,0.00101,0.00101
52,980.337,0.95591,0.52032,0.90606,0.89826,0.94664,0.96706,0.71742,0.99705,0.50949,0.93375,0.0009902,0.0009902,0.0009902
53,998.273,0.92902,0.5003,0.90843,0.91947,0.91782,0.96895,0.71532,0.97602,0.50709,0.9268,0.0009704,0.0009704,0.0009704
54,1016.27,0.95948,0.50679,0.91143,0.90583,0.92389,0.9693,0.71653,0.998,0.5122,0.93436,0.0009506,0.0009506,0.0009506
55,1034.94,0.93682,0.50358,0.91185,0.92842,0.91357,0.97695,0.7188,1.01184,0.51497,0.93904,0.0009308,0.0009308,0.0009308
56,1053.21,0.93987,0.50338,0.91051,0.89937,0.92524,0.97128,0.71691,0.9927,0.5202,0.93319,0.000911,0.000911,0.000911
57,1071.29,0.94064,0.50572,0.90825,0.92504,0.92102,0.96635,0.72374,0.9865,0.50362,0.93164,0.0008912,0.0008912,0.0008912
58,1089.8,0.91836,0.49876,0.90459,0.92139,0.92423,0.96884,0.72281,0.97577,0.50297,0.92518,0.0008714,0.0008714,0.0008714
59,1108.92,0.92025,0.49638,0.90487,0.90178,0.9285,0.96811,0.71185,0.98646,0.52984,0.93109,0.0008516,0.0008516,0.0008516
60,1126.92,0.92594,0.4984,0.90662,0.92304,0.92529,0.97231,0.72015,0.98575,0.51208,0.93217,0.0008318,0.0008318,0.0008318
61,1144.98,0.91977,0.49887,0.89885,0.91698,0.93124,0.97462,0.71911,0.99152,0.50426,0.93236,0.000812,0.000812,0.000812
62,1162.9,0.9106,0.48966,0.90563,0.90755,0.9349,0.97087,0.72435,0.97555,0.49759,0.92761,0.0007922,0.0007922,0.0007922
63,1181.26,0.91736,0.49305,0.90732,0.92676,0.90715,0.97612,0.72167,0.98137,0.49855,0.92575,0.0007724,0.0007724,0.0007724
64,1200.35,0.93578,0.49767,0.91244,0.90266,0.9204,0.96716,0.7245,0.97086,0.49453,0.9251,0.0007526,0.0007526,0.0007526
65,1218.53,0.91585,0.48489,0.89934,0.92159,0.92636,0.97143,0.7254,0.96878,0.49517,0.92154,0.0007328,0.0007328,0.0007328
66,1236.58,0.91604,0.48229,0.89918,0.92708,0.91889,0.9744,0.72482,0.97832,0.50126,0.92504,0.000713,0.000713,0.000713
67,1254.61,0.91509,0.48237,0.89928,0.93188,0.91979,0.96785,0.72376,0.96909,0.48922,0.92444,0.0006932,0.0006932,0.0006932
68,1273.09,0.90153,0.47584,0.90217,0.93279,0.92209,0.97617,0.72604,0.97367,0.4896,0.9274,0.0006734,0.0006734,0.0006734
69,1291.36,0.88826,0.47442,0.89782,0.91639,0.93917,0.97633,0.73081,0.96699,0.48054,0.92321,0.0006536,0.0006536,0.0006536
70,1309.62,0.89217,0.47221,0.90098,0.91183,0.92423,0.97029,0.7261,0.97076,0.48819,0.92308,0.0006338,0.0006338,0.0006338
71,1328.12,0.8886,0.46255,0.89809,0.93154,0.92102,0.97641,0.72909,0.9708,0.48195,0.92293,0.000614,0.000614,0.000614
72,1346.27,0.8982,0.46999,0.89912,0.92408,0.91676,0.97044,0.72381,0.97061,0.49943,0.92248,0.0005942,0.0005942,0.0005942
73,1364.12,0.90449,0.47067,0.90204,0.92316,0.92316,0.97275,0.73149,0.96173,0.48225,0.92242,0.0005744,0.0005744,0.0005744
74,1382.12,0.89074,0.47035,0.90051,0.93296,0.90598,0.97489,0.72384,0.98054,0.49702,0.92682,0.0005546,0.0005546,0.0005546
75,1400.24,0.87759,0.46547,0.89392,0.93908,0.90822,0.97429,0.72573,0.96977,0.48854,0.92499,0.0005348,0.0005348,0.0005348
76,1418.77,0.88439,0.46872,0.89437,0.93746,0.91189,0.9682,0.72553,0.97167,0.48571,0.92626,0.000515,0.000515,0.000515
77,1437.54,0.89328,0.46583,0.90057,0.93045,0.93276,0.976,0.73205,0.96594,0.47705,0.92232,0.0004952,0.0004952,0.0004952
78,1456.26,0.88972,0.46509,0.89688,0.92875,0.91569,0.96913,0.7235,0.97593,0.48642,0.92643,0.0004754,0.0004754,0.0004754
79,1474.66,0.87833,0.46199,0.89681,0.92056,0.92753,0.9726,0.72606,0.96856,0.48133,0.92519,0.0004556,0.0004556,0.0004556
80,1493,0.87606,0.46008,0.89734,0.91373,0.93816,0.9678,0.72042,0.97145,0.48901,0.92397,0.0004358,0.0004358,0.0004358
81,1511.1,0.87227,0.45371,0.89221,0.92671,0.91676,0.97326,0.721,0.97751,0.49547,0.9275,0.000416,0.000416,0.000416
82,1528.94,0.88459,0.45929,0.89289,0.91955,0.94344,0.97093,0.72847,0.9697,0.48323,0.92417,0.0003962,0.0003962,0.0003962
83,1547.18,0.88307,0.45273,0.89039,0.92345,0.93982,0.97417,0.7294,0.96257,0.47812,0.92192,0.0003764,0.0003764,0.0003764
84,1565.07,0.86258,0.45587,0.89241,0.93163,0.91569,0.96763,0.72674,0.96456,0.48665,0.9227,0.0003566,0.0003566,0.0003566
85,1583.16,0.8609,0.4522,0.89269,0.9154,0.93537,0.97505,0.72993,0.97193,0.48091,0.92631,0.0003368,0.0003368,0.0003368
86,1601.4,0.86159,0.45123,0.89614,0.93094,0.92078,0.97465,0.72968,0.97019,0.47933,0.92437,0.000317,0.000317,0.000317
87,1619.49,0.8678,0.44918,0.88956,0.93659,0.91421,0.97218,0.73067,0.96237,0.47685,0.92358,0.0002972,0.0002972,0.0002972
88,1637.53,0.86035,0.45044,0.88951,0.93576,0.91717,0.97163,0.72932,0.962,0.47896,0.92206,0.0002774,0.0002774,0.0002774
89,1655.75,0.86247,0.44211,0.88917,0.9144,0.93481,0.97264,0.72853,0.96574,0.48183,0.92579,0.0002576,0.0002576,0.0002576
90,1673.83,0.86397,0.44607,0.89146,0.9188,0.92989,0.97205,0.72655,0.9705,0.48248,0.92301,0.0002378,0.0002378,0.0002378
91,1704.47,0.83789,0.4277,0.88469,0.90536,0.93924,0.97133,0.73233,0.96416,0.47307,0.9236,0.000218,0.000218,0.000218
92,1722.74,0.82995,0.41687,0.88403,0.91516,0.9413,0.97694,0.73547,0.96012,0.4777,0.92292,0.0001982,0.0001982,0.0001982
93,1740.5,0.83336,0.42408,0.88708,0.9231,0.93514,0.974,0.72961,0.96226,0.47845,0.9227,0.0001784,0.0001784,0.0001784
94,1758.26,0.82802,0.42001,0.88398,0.93232,0.9285,0.97648,0.72909,0.96702,0.4824,0.92441,0.0001586,0.0001586,0.0001586
95,1776.06,0.83199,0.41819,0.89026,0.92569,0.92423,0.9752,0.73243,0.9561,0.47972,0.92332,0.0001388,0.0001388,0.0001388
96,1793.89,0.82659,0.41647,0.88182,0.9127,0.9413,0.97361,0.73202,0.96403,0.47265,0.9243,0.000119,0.000119,0.000119
97,1811.63,0.82095,0.4136,0.88299,0.9088,0.9445,0.97533,0.73194,0.96231,0.4716,0.92372,9.92e-05,9.92e-05,9.92e-05
98,1829.83,0.82156,0.4119,0.88264,0.92463,0.92964,0.97496,0.72847,0.96725,0.46844,0.92495,7.94e-05,7.94e-05,7.94e-05
99,1847.62,0.81701,0.41228,0.88064,0.93398,0.92636,0.97675,0.73195,0.95885,0.47407,0.92276,5.96e-05,5.96e-05,5.96e-05
100,1865.62,0.82297,0.41115,0.8811,0.93319,0.92426,0.97709,0.732,0.95937,0.47299,0.92247,3.98e-05,3.98e-05,3.98e-05
